Documento	Id
Formação estrelar na Grande Nuvem de Magalhães , uma galáxia irregular . Mosaico da Nebulosa do Caranguejo , remanescente de uma supernova . Astronomia é uma ciência natural que estuda corpos celestes como estrelas , planetas , cometas , nebulosas , aglomerados de estrelas , galáxias e fenômenos que se originam fora da atmosfera da Terra como a radiação cósmica de fundo em micro-ondas . Preocupada com a evolução , a física e a química de objetos celestes , bem como a formação e o desenvolvimento do universo . A astronomia é uma das mais antigas ciências . Culturas pré-históricas deixaram registrados vários artefatos astronômicos , como Stonehenge , os montes de Newgrange e os menires . As primeiras civilizações , como os babilônios , gregos , chineses , indianos , persas e maias realizaram observações metódicas do céu noturno . No entanto , a invenção do telescópio permitiu o desenvolvimento da astronomia moderna . Historicamente , a astronomia incluiu disciplinas tão diversas como astrometria , navegação astronômica , astronomia observacional e a elaboração de calendários . Durante o período medieval , seu estudo era obrigatório e estava incluído no Quadrivium que , junto com o Trivium , compunha a metodologia de ensino das sete Artes liberais . Durante o século XX , o campo da astronomia profissional dividiu-se em dois ramos a astronomia observacional e a astronomia teórica . A primeira está focada na aquisição de dados a partir da observação de objetos celestes , que são então analisados utilizando os princípios básicos da física . Já a segunda é orientada para o desenvolvimento de modelos analíticos que descrevem objetos e fenômenos astronômicos . Os dois campos se complementam , com a astronomia teórica procurando explicar os resultados observacionais , bem com as observações sendo usadas para confirmar ou não os resultados teóricos . Os astrônomos amadores têm contribuído para muitas e importantes descobertas astronômicas . A astronomia é uma das poucas ciências onde os amadores podem desempenhar um papel ativo , especialmente na descoberta e observação de fenômenos transitórios . A Astronomia não deve ser confundida com a astrologia , sistema de crença que afirma que os assuntos humanos , como a personalidade , estão correlacionados com as posições dos objetos celestes . Embora os dois campos compartilhem uma origem comum , atualmente eles estão totalmente distintos .	1
Nebulosa planetária de Formiga . A ejecção de gás da estrela no centro da imagem tem padrões de simetria diferentes dos padrões caóticos esperados para uma explosão ordinária . Por ter um objeto de estudo tão vasto , a astronomia é dividida em muitas áreas . Uma distinção principal é entre a astronomia teórica e a observacional . Observadores usam vários meios para obter dados sobre diversos fenômenos , que são usados pelos teóricos para criar e testar teorias e modelos , para explicar observações e para prever novos resultados . O observador e o teórico não são necessariamente pessoas diferentes e , em vez de dois campos perfeitamente delimitados , há um contínuo de cientistas que põem maior ou menor ênfase na observação ou na teoria . Os campos de estudo podem também ser categorizados quanto ao assunto em geral de acordo com a região do espaço ex . Astronomia galáctica ou aos problemas por resolver tais como formação das estrelas ou cosmologia à forma como se obtém a informação essencialmente , que faixa do espectro eletromagnético é usada . Enquanto a primeira divisão se aplica tanto a observadores como também a teóricos , a segunda se aplica a observadores , pois os teóricos tentam usar toda informação disponível , em todos os comprimentos de onda , e observadores frequentemente observam em mais de uma faixa do espectro .	2
Astronomia extragaláctica exemplo de lente gravitacional . Esta imagem , captada pelo telescópio espacial Hubble , mostra vários objetos azuis em forma de espiral que , na verdade , são imagens múltiplas de uma mesma galáxia . A imagem original da galáxia é multiplicada pelo efeito de lente gravitacional causado pelo aglomerado de galáxias elípticas e espirais de cor amarela que aparecem no centro da fotografia . A lente gravitacional deve-se ao campo gravitacional gerado pelo aglomerado , que curva e distorce a luz de objetos mais distantes . Na astronomia , a principal forma de obter informação é através da detecção e análise da luz visível ou outras regiões da radiação eletromagnética . Mas a informação é adquirida também por raios cósmicos , neutrinos , e , no futuro próximo , ondas gravitacionais veja LIGO e LISA . Uma divisão tradicional da astronomia é dada pela faixa do espectro eletromagnético observado . Algumas partes do espectro podem ser observadas da superfície da Terra , enquanto outras partes só são observáveis de grandes altitudes ou no espaço .	3
A radioastronomia estuda a radiação com comprimento de onda maior que aproximadamente 1 milímetro . A radioastronomia é diferente da maioria das outras formas de astronomia observacional pelo fato de as ondas de rádio observáveis poderem ser tratadas como ondas ao invés de fótons discretos . Com isso , é relativamente mais fácil de medir a amplitude e a fase das ondas de rádio . Apesar de algumas ondas de rádio serem produzidas por objetos astronômicos na forma de radiação térmica , a maior parte das emissões de rádio que são observadas da Terra são vistas na forma de radiação síncrotron , que é produzida quando elétrons ou outras partículas eletricamente carregadas descrevem uma trajetória curva em um campo magnético . Adicionalmente , diversas linhas espectrais produzidas por gás interestelar , notadamente a linha espectral do hidrogênio de 21 cm , são observáveis no comprimento de onda de rádio . Uma grande variedade de objetos são observáveis no comprimento de onda de rádio , incluindo supernovas , gás interestelar , pulsares e núcleos de galáxias ativas .	4
A astronomia infravermelha lida com a detecção e análise da radiação infravermelha , cuja frequência é menor do que a da luz vermelha . Exceto por comprimentos de onda mais próximas à luz visível , a radiação infravermelha é na maior parte absorvida pela atmosfera , e a atmosfera produz emissão infravermelha numa quantidade significante . Consequentemente , observatórios de infravermelho precisam estar localizados em lugares altos e secos , ou no espaço . O espectro infravermelho é útil para estudar objetos que são muito frios para emitir luz visível , como os planetas e discos circunstrelares . Comprimentos de onda infravermelha maior podem também penetrar nuvens de poeira que bloqueiam a luz visível , permitindo a observação de estrelas jovens em nuvens moleculares e o centro de galáxias . Algumas moléculas radiam fortemente no infravermelho , e isso pode ser usado para estudar a química no espaço , assim como detectar água em cometas .	5
Historicamente , a astronomia óptica também chamada de astronomia da luz visível é a forma mais antiga da astronomia . Imagens ópticas eram originalmente desenhadas à mão . No final do século XIX e na maior parte do século XX as imagens eram criadas usando equipamentos fotográficos . Imagens modernas são criadas usando detectores digitais , principalmente detectores usando dispositivos de cargas acoplados CCDs . Apesar da luz visível estender de aproximadamente até 400 nm até 700 nm , o mesmo equipamento usado nesse comprimento de onda é também usado para observar radiação de luz visível próxima a ultravioleta e infravermelho .	6
A astronomia ultravioleta é normalmente usada para se referir a observações no comprimento de onda ultravioleta , aproximadamente entre 100 e 10 e 320 nm . A luz nesse comprimento de onda é absorvida pela atmosfera da Terra , então as observações devem ser feitas na atmosfera superior ou no espaço . A astronomia ultravioleta é mais utilizada para o estudo da radiação térmica e linhas de emissão espectral de estrelas azul quente Estrela OB que são muito brilhantes nessa banda de onda . Isso inclui estrelas azuis em outras galáxias , que têm sido alvos de várias pesquisas nesta área . Outros objetos normalmente observados incluem a nebulosa planetária , remanescente de supernova , e núcleos de galáxias ativas . Entretanto , a luz ultravioleta é facilmente absorvida pela poeira interestelar , e as medições da luz ultravioleta desses objetos precisam ser corrigidas .	7
A astronomia de raio-X é o estudo de objetos astronômicos no comprimento de onda de raio-X. Normalmente os objetos emitem radiação de raio-X como radiação síncrotron produzida pela oscilação de elétrons em volta de campos magnéticos , emissão termal de gases finos chamada de radiação Bremsstrahlung maiores que 107 kelvin , e emissão termal de gases grossos chamada radiação de corpo negro maiores que 107 kelvin . Como os raio-X são absorvidos pela atmosfera terrestre todas as observações devem ser feitas de balões de grande altitude , foguetes , ou naves espaciais . Fontes de raio-X notáveis incluem binário de raio X , pulsares , remanescentes de supernovas , galáxias elípticas , aglomerados de galáxias e núcleos galácticos ativos .	8
A astronomia de raios gama é o estudo de objetos astronômicos que usam os menores comprimentos de onda do espectro eletromagnético . Os raios gama podem ser observados diretamente por satélites como o observatório de raios Gama Compton ou por telescópios especializados chamados Cherenkov . Os telescópios Cherenkov não detectam os raios gama diretamente mas detectam flashes de luz visível produzidos quando os raios gama são absorvidos pela atmosfera da Terra . A maioria das fontes emissoras de raio gama são na verdade Erupções de raios gama , objetos que produzem radiação gama apenas por poucos milissegundos a até milhares de segundos antes de desaparecerem . Apenas 10 das fontes de raio gama são fontes não transcendentes , incluindo pulsares , estrelas de nêutrons , e candidatos a buracos negros como núcleos galácticos ativos .	9
Além da radiação eletromagnética outras coisas podem ser observadas da Terra que se originam de grandes distâncias . Na Astronomia de neutrinos , astrônomos usam laboratórios especiais subterrâneos como o SAGE , GALLEX e Kamioka II III para detectar neutrinos . Esses neutrinos se originam principalmente do Sol , mas também de supernovas . Raios cósmicos consistindo de partículas de energia muito elevada podem ser observadas chocando-se com a atmosfera da terra . No futuro , detectores de neutrino poderão ser sensíveis aos neutrinos produzidos quando raios cósmicos atingem a atmosfera da Terra . Foram construídos alguns observatórios de ondas gravitacionais como o Laser Interferometer Gravitational Observatory LIGO mas as ondas gravitacionais são extremamente difíceis de detectar . No final de 2015 , pesquisadores do projeto LIGO Laser Interferometer Gravitational-Wave Observatory observaram distorções no espaço e no tempo causadas por um par de buracos negros com trinta massas solares em processo de fusão . A astronomia planetária tem se beneficiado da observação direta pelos foguetes espaciais e amostras no retorno das missões . Essas missões incluem fly-by missions com sensores remotos veículos de aterrissagem que podem realizar experimentos no material da superfície missões que permitem ver remotamente material enterrado e missões de amostra que permitem um exame laboratorial direto .	10
